category,forest,shrub,grass,crops,urban,snow,sparse
forest,0,1,2,3,4,6,5
shrub,5,0,4,6,1,3,2
grass,6,5,0,4,1,3,2
crops,4,3,2,0,1,6,5
urban,5,3,2,4,0,6,1
snow,6,5,4,3,2,0,1
sparse,6,4,2,3,5,1,0
