category,forest,shrub,grass,crops,urban,snow,sparse
Corn,0,0,0,1,0,0,0
FiberCrop,0,0,0,1,0,0,0
FodderGrass,0,0,0,1,0,0,0
FodderHerb,0,0,0,1,0,0,0
Forest,1,0,0,0,0,0,0
Grassland,0,0,1,0,0,0,0
MiscCrop,0,0,0,1,0,0,0
OilCrop,0,0,0,1,0,0,0
OtherArableLand,0,0,0,1,0,0,0
OtherGrain,0,0,0,1,0,0,0
PalmFruit,0,0,0,1,0,0,0
Pasture,0,0,1,0,0,0,0
Rice,0,0,0,1,0,0,0
RockIceDesert,0,0,0,0,0,1,1
Root_Tuber,0,0,0,1,0,0,0
Shrubland,0,1,0,0,0,0,0
SugarCrop,0,0,0,1,0,0,0
Tundra,0,0,1,0,0,0,0
UnmanagedForest,1,0,0,0,0,0,0
UnmanagedPasture,0,0,1,0,0,0,0
UrbanLand,0,0,0,0,1,0,0
Wheat,0,0,0,1,0,0,0
biomass,0,0,0,1,0,0,0
willow,1,0,0,0,0,0,0
ProtectedGrassland,0,0,1,0,0,0,0
ProtectedShrubland,0,1,0,0,0,0,0
ProtectedUnmanagedForest,1,0,0,0,0,0,0
ProtectedUnmanagedPasture,0,0,1,0,0,0,0
eucalyptus,1,0,0,0,0,0,0
miscanthus,1,0,0,0,0,0,0
