category,forest,shrub,grass,crops,urban,snow,sparse
evneedl,1,0,0,0,0,0,0
evbroad,1,0,0,0,0,0,0
decneedl,1,0,0,0,0,0,0
decbroad,1,0,0,0,0,0,0
shrub,0,1,0,0,0,0,0
grass,0,0,1,0,0,0,0
Corn,0,0,0,1,0,0,0
FiberCrop,0,0,0,1,0,0,0
FodderGrass,0,0,0,1,0,0,0
FodderHerb,0,0,0,1,0,0,0
MiscCrop,0,0,0,1,0,0,0
OilCrop,0,0,0,1,0,0,0
OtherGrain,0,0,0,1,0,0,0
PalmFruit,0,0,0,1,0,0,0
Rice,0,0,0,1,0,0,0
Root_Tuber,0,0,0,1,0,0,0
SugarCrop,0,0,0,1,0,0,0
Wheat,0,0,0,1,0,0,0
urban,0,0,0,0,1,0,0
snow,0,0,0,0,0,1,0
sparse,0,0,0,0,0,0,1
