category,forest,shrub,grass,crops,urban,snow,sparse
forest,0,2,3,1,4,5,6
shrub,2,0,3,1,4,5,6
grass,1,2,0,3,5,6,4
crops,2,3,1,0,5,6,4
urban,1,4,3,2,0,6,5
snow,2,3,4,1,5,0,6
sparse,2,3,4,1,5,6,0
