basin_id,basin_name,glu_name
169,South_Chile_Pacific_Coast,ChileCstS
215,Saskatchewan_Nelson,NelsonR
201,Pacific_Northwest_Basin,UsaPacNW
211,Fraser,FraserR
214,Missouri_River_Basin,MissouriR
213,Great_Lakes_Basin,GreatLakes
212,Upper_Mississippi_Basin,MissppRN
210,New_England_Basin,UsaCstNE
189,Mid_Atlantic_Basin,UsaCstE
209,Upper_Colorado_River_Basin,UsaColoRN
208,California_River_Basin,California
202,Great_Basin,GreatBasin
206,Ohio_River_Basin,OhioR
191,Arkansas_White_Red_Basin,ArkWhtRedR
195,Lower_Colorado_River_Basin,UsaColoRS
204,Rio_Grande_River_Basin,RioGrande
198,Tennessee_River_Basin,TennR
207,South_Atlantic_Gulf_Basin,UsaCstSE
193,Lower_Mississippi_River_Basin,MissppRS
205,Texas_Gulf_Coast_Basin,TexasCst
194,Mexico_Northwest_Coast,MexCstNW
203,Hawaii,Hawaii
196,Namibia_Coast,AfrCstSW
200,La_Puna_Region,LaPuna
199,Limpopo,LimpopoR
177,Madagascar,Madagascar
184,Australia_North_Coast,AusCstN
190,Africa_Indian_Ocean_Coast,AfrCstSE
197,Africa_South_Interior,AfrIntS
185,South_Pacific_Islands,NewCaledn
192,Sao_Francisco,SaoFrancR
168,Amazon,AmazonR
188,Zambezi,ZambeziR
171,Africa_East_Central_Coast,AfrCstE
180,Peru_Pacific_Coast,PeruCst
182,Angola_Coast,AngolaCst
174,Tocantins,TocantinsR
183,Congo,CongoR
175,Java_Timor,JavaTimor
187,Parnaiba,ParnaibaR
173,Papua_New_Guinea_Coast,PapuaCst
186,East_Brazil_South_Atlantic_Coast,BrzCstE
167,Irian_Jaya_Coast,IrianJaya
179,Rift_Valley,RiftValley
181,Fly,FlyR
158,Palau_and_East_Indonesia,IdnE
164,Sulawesi,Sulawesi
155,India_South_Coast,IndCstS
172,North_Brazil_South_Atlantic_Coast,BrzCstN
162,Gulf_of_Guinea,GuineaGulf
163,Sumatra,Sumatra
178,Sepik,SepikR
165,Kalimantan,Kalimantan
87,Nile,NileR
157,Colombia_Ecuador_Pacific_Coast,ColEcuaCst
170,Shebelli_Juba,ShebJubR
100,Africa_Red_Sea_Gulf_of_Aden_Coast,AfrCstNE
161,Northeast_South_America_South_Atlantic_Coast,SAmerCstNE
159,North_Borneo_Coast,BorneoCstN
139,Peninsula_Malaysia,MalaysiaP
156,Orinoco,OrinocoR
166,Magdalena,MagdalenaR
149,Niger,NigerR
142,Africa_West_Coast,AfrCstW
119,Philippines,Phlppns
143,Caribbean_Coast,SAmerCstN
151,Lake_Chad,LChad
